項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
1,富來登事業有限公司,支援服務業(建築物一般清潔服務業),墜落、滾落,1,萊爾富國際股份有限公司,萊爾富超商招牌清洗作業,萊爾富國際股份有限公司公正店,宜蘭縣羅東鎮公正路342號,勞動部職業安全衛生署北區職業安全衛生中心,108/12/28,
2,大有營造股份有限公司,營造業(其他土木工程業),跌倒,1,柯○○,柯○○住宅新建工程,「柯○○住宅新建工程」工地,-,勞動部職業安全衛生署中區職業安全衛生中心,108/12/28,
3,合秦建設有限公司,不動產業(不動產開發業),物體倒塌、崩塌,2,,合秦建設有限公司新建工程,開挖區,彰化縣花壇鄉彰員路1段429號旁,勞動部職業安全衛生署中區職業安全衛生中心,108/12/27,
4,樺嶺企業股份有限公司,製造業(鋁鑄造業),感電,1,樺嶺企業股份有限公司,,鋁擠型成品包裝區,鹽水區岸內里蔦松腳13之6號,勞動部職業安全衛生署南區職業安全衛生中心,108/12/26,
5,王OO(即順陞海事工程行),營造業(其他土木工程業),溺斃,1,交通部航港局,委任廠商進行無名貨船擱淺船體移除等事宜案,無名貨船擱淺處海岸,-,勞動部職業安全衛生署北區職業安全衛生中心,108/12/25,
6,佳和實業股份有限公司,製造業(棉毛紡紗業),墜落、滾落,1,,布廠新裝機台24台配管配電工程,官田廠織布廠地下室,臺南市官田區工業路11號,臺南市職安健康處,108/12/25,
7,博勝實業股份有限公司,製造業(機車零件製造業),被夾、被捲,1,,,博勝實業股份有限公司油壓作業區,臺南市永康區王行里王行路68巷6之2號,勞動部職業安全衛生署南區職業安全衛生中心,108/12/24,
8,宏林營造廠股份有限公司,營造業(建築工程業),衝撞,1,聯虹建設股份有限公司,聯虹天耀2集合住宅新建工程,地下3樓,新北市林口區吉祥路176號旁,新北市政府勞動檢查處,108/12/23,
9,國記營造股份有限公司,營造業(建築工程業),墜落、滾落,1,臺北市政府都市發展局,（106建236）臺北市北投區奇岩公宅新建工程,臺北市北投區磺港路288號對面,北投區磺港路288號對面,臺北市勞動檢查處,108/12/20,
10,岱盟工程有限公司,營造業(建築工程業),墜落、滾落,1,國聚建設有限公司,國聚建設永富段新建工程,於1樓室內閱覽室跨坐於合梯頂板(高度約1.73公尺)以交叉拉桿進行牆面螺桿拆除作業時，隨合梯傾倒墜落,臺中市南屯區龍富路四段437號旁,勞動部職業安全衛生署中區職業安全衛生中心,108/12/19,
